 skb ʿṣīr al-brtqāl ʿli ḥbūbh.	skb al-ḥlīb ʿli ḥbūbh.	0
234	kānt al-ftāẗ nāʾimẗ ʿli al-ʾarīkẗ	kānt al-ftāẗ nāʾimẗ ʿli mlʿqẗ	1
235	ktbt šīʾ ʿli al-ʾarḍ	ktbt šīʾ ʿli lūḥẗ al-mfātīḥ	0
236	ṭārt al-ṭāʾirẗ ili trkīā	sbḥt al-ṭāʾirẗ trkīā	1
237	zār ṭbīb asnān lfḥṣ al-m asnānh	zār mīkānīkīًā lfḥṣ mn al-ām asnānh	1
238	īṭīr al-klb ṯlāṯ mrāt fī al-īūm.	ālklb īmšī ṯlāṯ mrāt fī al-īūm.	0
239	tḥtāǧ ili šrāʾ tḏkrẗ ldẖūl al-sīnmā	tḥtāǧ ili ǧwāz sfrk ldẖūl al-sīnmā	1
240	lm īkn īrīd al-mġādrẗ mn dāẖl ṣndūq al-brīd al-ẖāṣ bh.	lm īkn īrīd al-mġādrẗ mn dāẖl mnzlh.	0
241	ftḥ al-bāb bḥḏāʾ.	ftḥ al-bāb bmftāḥ.	0
242	āṣṭḥb klbh ili mṣff al-šʿr liǧrāʾ fḥṣ ṭbī.	ʾaẖḏ klbh ili al-ṭbīb al-bīṭrī liǧrāʾ fḥṣ ṭbī.	0
243	mn al-ʾašīāʾ al-tī tfʿlhā ʿnd al-āstīqāẓ hū tnẓīf asnānk	ʾaḥd al-ʾašīāʾ al-tī tfʿlhā ʿndmā tstīqẓ hī an tqūl līlẗ sʿīdẗ	1
244	kān al-ʾaṭfāl sʿdāʾ bruʾīẗ al-mhrǧ	kān al-ʾaṭfāl sʿdāʾ bruʾīẗ al-ūḥš	1
245	nḥt lḥm al-ẖnzīr bskīn.	nḥt lḥm al-ẖnzīr bmlʿqẗ.	1
246	ʾaẖḏ klbh ili al-ṭbīb al-bīṭrī lʾaẖḏ lqāḥāth	ʾaẖḏ klbh ili ṣālẗ al-ʾalʿāb al-rīāḍīẗ lʾaẖḏ lqāḥāth	1
247	fī al-ṣbāḥ ʿndmā astīqẓ , atnāūl al-ifṭār.	fī al-ṣbāḥ ʿndmā astīqẓ , atnāūl al-ʿšāʾ.	1
248	ālbṭāṭs hī ǧmʿ al-bṭāṭā	ālbṭāṭā hī ǧmʿ al-bṭāṭā	0
249	lqd ūǧdt mfkrẗ ʿli ṭāūlẗ.	lqd ūǧdt ṣābūnnā ʿli ṭāūlẗ.	1
250	šīʾ qd tfʿlh aṯnāʾ qīādẗ sīārtk ītm dfʿh ʿli al-frāml	šīʾ qd tfʿlh aṯnāʾ qīādẗ sīārtk hū al-tḥlīq bālṭāʾirẗ	1
251	ḏhb al-nās ili al-mṭʿm llṣlāẗ	ḏhb al-nās ili al-knīsẗ llṣlāẗ	0
252	ātṣl bālšrṭẗ llškwi mn al-sārq	ūdʿā al-mṣrfī llškwi mn al-srqẗ	1
253	stāʾir tsmḥ bdẖūl mzīd mn al-ḍūʾ ili al-ġrfẗ.	stāʾir tmnʿ al-ḍūʾ mn dẖūl al-ġrfẗ.	0
254	ʾarsl rsālẗ nṣīẗ fī ṣndūq al-ġdāʾ	ʾarsl rsālẗ nṣīẗ mn ẖlāl al-hātf al-mḥmūl	0
255	ālkrsī bḏrāʿīn hū al-mkān al-ḏī īǧls fīh al-nās wystrīḥūn	ālmūqd ḥīṯ īǧls al-nās wālāstrẖāʾ	1
256	ḥukm ʿlīh bāliʿdām fī mḥākmẗ.	ḥkm al-mthm ʿli hīʾiẗ al-mḥlfīn bāliʿdām.	1
257	īšrb al-bnzīn kl ṣbāḥ	īšrb al-šāī kl ṣbāḥ	0
258	qrʾa ǧīms al-ṣfḥẗ al-ʾaẖīrẗ mn al-ktāb ūʾaʿādhā ili rf al-ktb.	qrʾa ǧīms al-ṣfḥẗ al-ʾaẖīrẗ mn al-ktāb ūšrʿ fī tnāūlh.	1
259	qādt sīārthā ḥūl al-sūbr mārkt lǧmʿ al-ʾaġrāḍ al-bqālẗ	dfʿt ʿrbthā ḥūl al-sūbr mārkt lǧmʿ al-ʾaġrāḍ mn al-bqālẗ	0
260	īmknk mšāhdẗ al-ṣūr fī al-mtḥf	īmknk šrāʾ ṣūr fī mtḥf	1
261	ḥzm mlābsh bqlm	ḥzm mlābsh fī ḥqībẗ	0
262	ūḍʿt ḥḏāʾihā ʿli qdmīhā	ūḍʿt qmīṣhā ʿli qdmīhā	1
263	āštri ṭbq lṭhī al-ṭʿām	āštri al-dǧāǧ lṭhī al-ṭʿām	0
264	ʾarīd an al-ʿb krẗ al-qdm ʿli ġītārī	ʾarīd an al-ʿb krẗ al-qdm ʿli ǧhāz iks būks	0
265	qām al-ṭālb bnsẖ mlāḥẓāt asātḏth.	ṭālb al-ṭālb mḏkrāt asātḏth.	1
266	tstẖdm al-hwātf al-mḥmūlẗ fī al-tnẓīf	ālhwātf al-mḥmūlẗ shlẗ al-ḥml	0
267	ītm astẖdām al-srīr llnūm	ītm astẖdām al-srīr lmšāhdẗ al-tlfzīūn	1
268	šrb ṣdīqī al-ʿṣīr fī kʾas.	šrb ṣdīqī al-rmāl fī kūb.	1
269	lqd ūḍʿt fṭīrẗ fī al-frn.	ūḍʿt fṭīrẗ fī ḥūḍ al-āstḥmām.	1
270	kānt tʾakl al-ḥḏāʾ	kānt tʾakl al-šūklātẗ	0
271	dẖlt ili ḥūḍ al-āstḥmām llnūm.	nmt fī al-frāš llnūm.	0
272	ūḍʿt bītzā fī al-frn.	lqd ūḍʿt ġūrīlā fī al-frn.	1
273	ītm astẖdām al-mẓlẗ ẖlāl īūm mmṭr.	īstẖdm wāqī al-šms ẖlāl īūm mmṭr.	1
274	īmknnā ṭhī al-ṭʿām fī al-mṭbẖ	īmknnā al-āstḥmām fī al-mṭbẖ	1
275	ālṭʿām al-mẖbūz lftrẗ aṭūl mn al-mūṣi bh īmkn an īḥrq	ālʾaṭʿmẗ al-mbrdẗ lftrẗ aṭūl mn al-mūṣi bhā īmkn an tḥtrq	1
276	qād ǧīm ili al-mrkz al-tǧārī	qād al-mrkz al-tǧārī ili ǧīm	1
277	qāmt btsẖīn al-māʾ lṣnʿ al-šāī.	qāmt btsẖīn al-māʾ lṣnʿ al-ʾāīs krīm.	1
278	ālsīf hū slāḥ	dmīẗ hū slāḥ	1
279	ālkūkb lh škl mrbʿ	kūkb lh škl krwy	0
280	ūḍʿ al-dīk al-rūmī al-mǧmd fī al-frīzr.	ūḍʿ qṭẗ fī al-frīzr.	1
281	ālʿšb aẖḍr	ālʿšb brtqālī	1
282	mʿẓm al-nbātāt lhā aūrāq ẖḍrāʾ.	īmkn an īkūn llnbāt ǧāmūs ltnāūl al-ʿšāʾ.	1
283	ʾaʿṭi al-ṭbīb al-lqāḥ ʿn ṭrīq al-ḥqn	ʾaʿṭi al-ṭbīb al-lqāḥ mn ẖlāl smāʿẗ al-ṭbīb	1
284	bītī mṯlī al-ǧns.	bītī hū al-ʾabīḍ.	0
285	īmknk šrāʾ al-sǧāʾir fī zǧāǧāt	īmknk šrāʾ al-bīrẗ fī zǧāǧāt	0
286	tnāūl al-kṯīr mn al-ṭʿām īǧʿlk smīnnā	tnāūl al-kṯīr mn al-ṭʿām īǧʿlk ṭwyl al-qāmẗ	1
287	ālṣfāt hī ǧzʾ mn al-klām	ālṣfāt hī ǧzʾ mn al-bītzā	1
288	tmṭr fī bʿḍ al-ʾaḥīān ūhū amr mrūʿ llʾašǧār wālʿšb.	tmṭr fī bʿḍ al-ʾaḥīān ūhū amr ǧīd llʾašǧār wālʿšb.	0
289	iḏā mātt stštrī mnzlā ǧdīdā.	iḏā mātt fln tštrī aī šīʾ bʿd al-ʾān.	0
290	qfz al-klb fūq al-sǧl.	qfz al-sǧl fūq klb.	1
291	ʿmlt ʿli al-suʾāl ʿli al-ʾālẗ al-ḥāsbẗ	ḥllt al-iǧābẗ ʿli al-ʾālẗ al-ḥāsbẗ	0
292	qāmt btʿlīq mṣʿd ʿli al-ḥāʾiṭ.	ʿlqt iṭār ṣūrẗ ʿli al-ḥāʾiṭ.	0
293	tuʾṯr aḍṭrābāt al-qlq ʿli ḥwālī 10 ٪ mn al-nās fī ūqt wāḥd.	10٪ mn al-ʾašẖāṣ al-mḍṭrbīn qlqūn mn aī šīʾ ṭwāl al-ūqt.	1
294	ālqwārb tbḥr ʿli al-māʾ.	ālqwārb tbḥr ʿli al-rmāl.	1
295	āllṣūṣ hm ahl al-ẖīr	ālʾaṭbāʾ hm ahl al-ẖīr	0
296	ārtdīt rbṭẗ ʿnq sūdāʾ llǧnāzẗ	ārtdīt rbṭẗ qūs qzḥ fī al-ǧnāzẗ	1
297	ūbẖ al-ṭlāb al-mʿlm	ūbẖ al-mʿlm al-ṭlāb	0
298	qāmwā btšġīl al-mūqd lmšāhdẗ brnāmǧhm al-mfḍl	qāmwā btšġīl al-tlfzīūn lmšāhdẗ brnāmǧhm al-mfḍl	0
299	ʾabqi al-ʾāīs krīm fī al-frn	āḥtfẓ bālʾāīs krīm fī al-mǧmd	0
300	kānt tḥmr al-mksrāt fī mqlāẗ sāẖnẗ	kānt tqli al-mksrāt fī al-mǧmd	1
301	tʿlm lġẗ amr shl	tʿlm kīfīẗ rkūb al-drāǧāt shl	0
302	ūḍʿt mīšīl ǧhāz tlfzīūn fī al-ǧzʾ al-ẖlfī mn sīārthā.	ūḍʿt mīšīl arīkẗ fī muʾẖrẗ sīārthā	1
303	stǧd ṣẖrẗ fī al-ǧbl	stǧd smkẗ qrš fī ǧbl	1
304	ʿbrt ʿbārẗ al-nhr ʿli al-sīārẗ.	ʿbrt al-sīārẗ ʿbr ʿbārẗ al-nhr.	0
305	lqd ǧʿl al-mṭr qmīṣī mbllāً.	ǧʿlt al-šms qmīṣī mbllā.	1
306	kānt tsbḥ bzīt sāẖn.	kānt tsbḥ fī al-māʾ al-sāẖn.	0
307	tḥb bīlā al-rqṣ fī qāʿẗ rqṣ fī sīārthā al-ūrdīẗ.	tḥb bīlā al-rqṣ fī qāʿẗ rqṣ bfstānhā al-ūrdī	0
308	ʿādẗ mā īstẖdm al-bīḍ kkrẗ krīkīt	īstẖdm al-bīḍ ʿādẗ ltnāūl al-ṭʿām	0
309	šīʾ wāḥd strāh fī mtǧr tġyir al-iṭārāt hū al-ḍāġṭ	šīʾ wāḥd strāh fī mtǧr tġyir al-iṭārāt hū ṣānʿ al-ʿṣīr	1
310	ālmẓlāt ūsīlẗ ǧīdẗ lltwāṣl	ālhwātf al-mḥmūlẗ hī ūsīlẗ ǧīdẗ llātṣāl	0
311	ālmʿāṭf al-štwyẗ mfīdẗ fī drǧāt al-ḥrārẗ al-bārdẗ.	ālmʿāṭf al-štwyẗ mfīdẗ fī al-ṣīf.	1
312	hū akl tfāḥẗ	hū akl hātf mḥmūl	1
313	ʾaqlām al-rṣāṣ tḥtwy ʿli qlb al-šūkūlātẗ	ʾaqlām al-rṣāṣ tḥtwy ʿli nwāẗ al-ǧrāfīt	0
314	qṭʿ al-ǧbn bskīn	qṭʿ al-ǧbn bālfʾas	1
315	ʾaẖḏ ʿāʾilth ili al-mṭʿm ltnāūl al-ʿšāʾ	ʾaẖḏ ʿāʾilth ili mṭʿm lmšāhdẗ lfīlm	1
316	īlʿb al-lāʿbūn krẗ al-qdm bālʾaḥḏīẗ al-rīāḍīẗ	āllāʿbūn īlʿbūn krẗ al-qdm bālʾaḥḏīẗ al-ǧblīẗ	1
317	kān anʿkāsh ġīr mrʾī fī al-mrʾāẗ.	kān anʿkāsh mrʾīًā fī al-mrʾāẗ	0
318	kān īʾakl anmqānq al-mqlīẗ	kān īʾakl al-mlʿqẗ	1
319	sūf aʿzf al-ṭāūlẗ fī al-ṣf ġddā amām al-ṭlāb	sūf aʿzf al-ǧītār fī al-ṣf ġddā amām al-ṭlāb	0
320	mẖrṭẗ tstẖdm ltškīl al-mwād.	ālmẖrṭẗ hī fqṭ lṣnʿ arǧl al-ṭāūlẗ.	1
321	ālmāʾ hū mšrūb blūn bnī	ālqhūẗ mšrūb bāllūn al-bnī	0
322	īstẖdm al-nās al-kmbīūtr lksb al-māl.	īstẖdm al-kmbīūtr al-nās lksb al-māl.	1
323	šrṭī īḥml sīfā.	šrṭī īḥml bndqīẗ.	0
324	īmkn llnās tǧdīf al-qwārb.	īmkn llqwārb tǧdīf al-nās.	1
325	tm bnāʾ al-ǧsūr lǧḏb al-sīāḥ	tm bnāʾ al-ǧsūr lʿbūr al-ʾanhār	0
326	īḍʿ al-msāmīr ʿli šṭīrẗ	īḍʿ lḥm al-ẖnzīr ʿli šṭīrẗ.	0
327	šīʾ tǧdh fī ġrfẗ al-mʿīšẗ hū krsī	šīʾ tǧdh fī ġrfẗ al-mʿīšẗ hū al-fhd	1
328	ālṯʿlb ṭāʾir	ālṯʿlb ḥīwān	0
329	īḍʿ al-mstḥḍr fī al-slẗ	īfrk al-mstḥḍr ʿli al-slẗ	1
330	mn al-mḥtml an twāǧh ḥādṯ sīārẗ ʿli al-ṭrīq	mn al-mḥtml an twāǧh ḥādṯ sīārẗ dāẖl al-mnzl	1
331	lā aḥd īrīd al-ʿīš mʿ qṭẗ	lā aḥd īrīd al-ʿīš mʿ al-fʾirān	0
332	qrʾa ẖzānẗ fī al-ǧdūl	qrʾa ktābā fī al-ǧdūl	0
333	īṭārd al-fʾar al-ṣġīr qṭẗ rmādīẗ	ālqṭ al-rmādī īṭārd fʾar ṣġīr bʿīddā	0
334	ḏhbt ili al-mstšfi liǧrāʾ ʿmlīẗ ǧrāḥīẗ.	ḏhbt ili mtǧr al-mlābs liǧrāʾ ʿmlīẗ ǧrāḥīẗ.	1
335	tṣdr lūḥẗ al-mfātīḥ ṣūt nqr ʿnd ktābthā.	tṣdr lūḥẗ al-mfātīḥ ṣūttā ršīqًā ʿnd ktābthā.	1
336	ālṭbāšīr ʿnṣr ġḏāʾī šāʾiʿ fī ḥflāt aʿīād al-mīlād.	ālkīk hū ʿnṣr ġḏāʾī šāʾiʿ fī ḥflāt aʿīād al-mīlād.	0
337	ālmrūḥẗ hī knġr ṣġīr	ǧwy hū al-knġr al-ṣġīr	0
338	qād sīārth asfl al-nhr.	qād sīārth fī al-šārʿ.	0
339	ālsīārāt ldīhā ʿšr ʿǧlāt	ālsīārāt ldīhā arbʿ ʿǧlāt	0
340	nqr ʿli šāšẗ al-kmbīūtr bālmāūs	nqr ʿli šāšẗ al-kmbīūtr mʿ al-klb	1
341	sūf tld bʿd šhrīn mn al-ḥml	sūf tld bʿd 9 šhūr mn al-ḥml	0
342	ǧwāz al-sfr ḍrūrī llsfr mn dūlẗ ili aẖri.	ǧwāz al-sfr ḍrūrī llsfr mn mṭʿm ili aẖr.	1
343	rāʾiḥẗ ǧūnāṯān sīʾiẗ ʿndmā tkūn al-qmāmẗ al-ʿḍwyẗ qrībẗ	in rāʾiḥẗ ǧūnāṯān ǧīdẗ ʿndmā tkūn al-qmāmẗ al-ʿḍwyẗ qrībẗ	1
344	sfīnẗ al-fḍāʾ hī ūsīlẗ llāntqāl mn ǧānb wāḥd ili ṭrīq al-māʾ ili ǧānb aẖr.	ālnfq hū ūsīlẗ llāntqāl mn ǧānb ili ǧānb fūq al-māʾ.	0
345	āštri hdīẗ lǧnāzẗ ṣdīqh	āštri hdīẗ lḥfl zfāf ṣdīqh	0
346	qāmt būḍʿ mʿǧūn al-ʾasnān ʿli ūǧhhā fī al-ṣīf	qāmt būḍʿ wāqī al-šms ʿli ūǧhhā fī al-ṣīf	0
347	sbʿẗ arbāʿ tsāwy wāḥdẗ kāmlẗ.	ʾarbʿẗ arbāʿ tsāwy wāḥdẗ kāmlẗ.	0
348	tnmū al-hwātf ʿli al-ʾašǧār	āltfāḥ īnmū ʿli al-ʾašǧār	0
349	īmkn mḥū al-ʿlāmẗ al-dāʾimẗ bshūlẗ akbr mn al-tlwyn	īmkn msḥ qlm al-rṣāṣ bshūlẗ akṯr mn qlm al-tlwyn	0
350	mn al-mḥtml an tdẖl al-ǧāmʿẗ mʿ fšlhā fī al-āmtḥān al-tʾahīlī	mn al-mḥtml an tdẖl al-ǧāmʿẗ mʿ aǧtīāzhā fī al-āmtḥān al-tʾahīlī	0
351	ātṣl bzūǧth ʿli qlmhā	ātṣl bzūǧth ʿli hātfhā al-nqāl	0
352	ūḍʿt al-qṭār fī al-sīārẗ.	ūḍʿt klbā fī al-sīārẗ.	0
353	kān lūḥ al-ṣlb īṭfū ʿli al-bḥīrẗ	lūḥ al-ẖšb ʿāʾim ʿli al-bḥīrẗ	0
354	qām btẖzīn al-ʾarz fī mḥrk al-qlm	qām btẖzīn mlfāt al-mūsīqi fī mḥrk al-qlm	0
355	īḥtāǧ nbāt al-rīḥān ili al-šms wālmāʾ wāltrbẗ lkī īzdhr.	īḥtāǧ al-rḍīʿ ili al-šms wālmāʾ wāltrbẗ lkī īzdhr.	1
356	ʾarkb al-nmr llʿml kl īūm	ʾanā aqūd sīārẗ llʿml kl īūm	0
357	īmknk astẖdām ḥmām al-sbāḥẗ	īmknk astẖdām brkẗ lūḍʿ al-fīl	1
358	qād al-šāḥnẗ mn qārẗ ili qārẗ.	qādt al-šāḥnẗ ʿli al-ṭrīq al-srīʿ.	0
359	mšīt ʿli al-ʾarḍ	ānā mašītu ʿli al-māʾi	1
360	hnāk arbʿẗ ǧbāl ḥūl al-ṭāūlẗ	hnāk arbʿẗ mqāʿd ḥūl al-ṭāūlẗ	0
361	rkbt al-nmlẗ al-drāǧẗ.	rkbt al-ftāẗ al-drāǧẗ.	0
362	nẓr ili sāʿth.	fḥṣ al-ūqt ʿli ḥḏāʾih	1
363	ḥkm ʿli al-mǧrm bsntīn fī al-mktbẗ.	ḥkm ʿli al-mǧrm bālsǧn lmdẗ ʿāmīn.	0
364	kān īsbḥ fī ḥmām sbāḥẗ	kān īsbḥ fī arḍ	1
365	ldi bīl ṣdīqīn fī blǧīkā	īmtlk bīl ǧzīrtīn fī blǧīkā	1
366	ḏhb ūḥīd al-qrn asfl al-ḥfrẗ.	ḏhb al-ʾarnb asfl al-ḥfrẗ.	0
367	īʾakl klbī al-ẖšb ʿli al-ʿšāʾ.	īʾakl klbī al-dǧāǧ ʿli al-ʿšāʾ.	0
368	tnāūl al-kṯīr mn al-rml īmkn an īsbb al-smnẗ	tnāūl al-kṯīr mn al-ʾaṭʿmẗ al-skrīẗ īmkn an īsbb al-smnẗ	0
369	ūlūḥ bīdīh ʿli drāǧth	ūlūḥ bīdh ʿli aṣdqāʾih	0
370	ʾaūqf ǧūn sīārth fī al-ḥmām	ʾaūqf ǧūn sīārth fī al-mrʾāb	0
371	kān īʾakl ktābbā	kān īqrʾa ktābbā	0
372	īǧb ʿli al-šẖṣ an īʾakl al-mzīd mn al-lḥm līʿīš ḥīāẗ aṭūl	īǧb ʿli al-šẖṣ mmārsẗ al-mzīd mn al-rīāḍẗ  lʾaǧl ḥīāẗ aṭūl	0
373	kān īḥb al-ṭʿām al-ḏī qdmh al-klb	kān īḥb al-ṭʿām al-ḏī īqdmh al-šīf	0
374	dẖl ḥūḍ al-āstḥmām llnūm.	dẖl al-srīr llnūm.	0
375	īǧb ṭhī ḥsāʾ al-lḥm al-bqrī ʿnd 3250 drǧẗ lmdẗ 36 sāʿẗ	īǧb ṭhī lḥm al-bqr ʿnd 325 drǧẗ lmdẗ 3 sāʿāt	0
376	tʾakl al-kṯīr mn al-ṭʿām.	ālṭʿām īʾaklhā kṯīrā.	1
377	īmknk al-ʿṯūr ʿli nwāfḏ ʿli mbni	stǧd dāʾimmā nwāfḏ ʿli mbni	1
378	mn al-mstḥsn ūḍʿ al-ʾaṭfāl fī al-sǧn fī sn al-sādsẗ	mn al-mstḥsn ūḍʿ al-ʾaṭfāl fī al-mdrsẗ fī sn al-sādsẗ	0
379	ālʿml sīǧnī al-māl.	ālḏhāb llʿml hū lksb al-māl.	0
380	īstẖdm al-ṭālb ʿṣā liǧrāʾ al-āẖtbār	īstẖdm al-ṭālb qlm rṣāṣ liǧrāʾ al-āẖtbār	0
381	ālmḥfẓẗ hī ṭrīqẗ ʿṣrīẗ lḥml al-šfrāt al-dwārẗ.	ālmḥfẓẗ hī ṭrīqẗ ʿṣrīẗ lḥml al-ʿnāṣr al-ʾasāsīẗ.	0
382	ṭāʾirẗ ūrqīẗ tṭīr fī al-hwāʾ.	ṭāʾirẗ ūrqīẗ tbkī fī al-hwāʾ.	1
383	ḏhb ili al-ṣālūn lʿml qṣ šʿr	ḏhb ili al-msrḥ llqīām bqṣ al-šʿr	1
384	ʿnd al-qīādẗ , mn al-mhm ibqāʾ kltā īdīk ʿli ʿǧlẗ al-qīādẗ.	ʿnd al-qīādẗ , mn al-mhm ibqāʾ klā al-qdmīn ʿli ʿǧlẗ al-qīādẗ.	1
385	ʾaẖḏ ḥīwānh ili rsām llʿlāǧ	ʾaẖḏ ḥīwānh ili ṭbīb bīṭrī llʿlāǧ	0
386	bʿḍ al-klāb tʿḍ al-rǧāl	kl al-rǧāl īʿḍūn al-klāb	1
387	āʿtql rǧāl al-šrṭẗ al-lṣ	ālqbḍ ʿli al-lṣ rǧāl al-šrṭẗ	1
388	ūḍʿt amī al-ṭfl fī ʿrbẗ al-mšī ʿli al-ḥdīqẗ	ūḍʿt amī al-ṭfl fī zḥlīqẗ al-māʾ ltḏhb ili al-ḥdīqẗ	1
389	ḏhbt ilīhā al-mdrsẗ	kānt fī nfs mdrstī	0
390	īqūd bāẖrẗ fī ūẓīfth fī al-mlʿb.	īqūd al-bāẖrẗ fī ūẓīfth.	0
391	kān īʾakl al-kʿkẗ	kān īʾakl al-ʿšb	1
392	stʾakl al-ḥṣān lʾank ǧāʾiʿ	stʾakl al-ġdāʾ lʾank ǧāʾiʿ	0
393	sāfr ili aūrūbā bālṭāʾirẗ.	sāfr ili aūrūbā ʿn ṭrīq al-ṭīūr.	1
394	qām al-rǧl bilqāʾ al-qmāmẗ fī slẗ al-mhmlāt	qām al-rǧl bilqāʾ al-qmāmẗ fī fmh	1
395	bʿd rmī al-krẗ lʾaʿli , ststmr fī al-ṣʿūd	bʿd rmī al-krẗ lʾaʿli , stnzl mrẗ aẖri	0
396	tqfz bʿḍ al-klāb mn frʿ ili aẖr ʿli šǧrẗ	tqfz bʿḍ al-qrūd mn frʿ ili aẖr ʿli šǧrẗ	0
397	ālʾaṭfāl ldīhm ūẓāʾif.	ālkbār ldīhm ūẓāʾif.	0
398	ʿādẗ mā īʾakl al-nās al-ḥsāʾ mʿ al-mlāʿq	ʿādẗ mā īʾakl al-nās al-ḥsāʾ bālskākīn	1
399	ftḥ al-ǧdār	ftḥ al-bāb	0
400	qāmt bṭhī al-ʾarz fī ḥūḍ al-āstḥmām.	ṭhī al-ʾarz fī al-mqlāẗ.	0
401	ʾaʿṭāhā qlādẗ lʿīd mīlādhā.	ʾaʿṭāhā ṣẖrẗ fī ʿīd mīlādhā.	1
402	āstbdl al-mṣbāḥ fī al-mṣbāḥ bsmk al-slmūn	āstbdl al-mṣbāḥ fī al-mṣbāḥ bmṣbāḥ LED ǧdīd	0
403	qām idwārd btrkīb al-ʾalwāḥ al-šmsīẗ ʿli al-sṭḥ	ūḍʿ mḥṭẗ nwuīẗ ʿli al-sṭḥ	1
404	ʾarbʿẗ zāʾid stẗ īsāwy ʿšrẗ	ʿšrẗ zāʾid stẗ tsāwy ʿšrẗ	1
405	ʾaklt ʿǧlẗ drāǧẗ	ʾaklt bskwyt	0
406	īnẓf al-mnzl al-sīārāt nfsh.	tnẓf al-mnzl kl īūm.	0
407	ṭār al-mrākb al-šrāʿīẗ ʿālīāً fī al-smāʾ.	ḥlqt al-ṭāʾirẗ ʿālīā fī al-smāʾ.	0
408	dẖlt al-mnzl	mšīt fūq al-mnzl	1
409	mšbk ūrq īqūm bqṣ al-ūrq mʿًā.	īqūm mšbk al-ūrq bqṭʿ al-ūrq ili qṭʿ.	1
410	ālmūsīqi tǧʿl al-bšr īšʿrūn bẖīr.	tšʿr al-mūsīqi bẖīr mʿ al-bšr.	1
411	ʾanā artdī al-mlābs kl īūm.	tlbsnī al-mlābs kl īūm.	1
412	ḏhb al-ṭlāb ili al-mʿlm ltṣḥīḥ al-mhmẗ	ḏhb al-ṭlāb ili sbāk ltṣḥīḥ al-mhmẗ	1
413	kān īšāhd brnāmǧh al-mfḍl fī al-tlfzīūn	kān īšāhd brnāmǧh al-mfḍl fī al-frn	1
414	nbḥ al-klb ʿli al-ḥṣān	nbḥ al-ḥṣān ʿli al-klb	1
415	āstẖdmt hātfًā llātṣāl bwāldthā	āstẖdmt mūzẗ llātṣāl bʾamhā	1
416	lqd aṣṭād smkẗ bʿṣā al-ṣīd	ʾamsk bʿṣā al-ṣīd mʿ smkẗ	1
417	ldi al-ftīāt ṯlāṯẗ aṯdāʾ	ālbnāt ldīhmā ṯdyin aṯnīn	0
418	ṭhi al-ṭāhī al-ṭʿām ʿli mūqd	ṭhi al-ṭāhī al-ṭʿām ʿli mkbr al-ṣūt	1
419	kān īlʿb ḥḏāʾ	kān īlʿb lʿbẗ šṭrnǧ	0
420	fḥṣ al-ṭbīb drǧẗ al-ḥrārẗ bāstẖdām mīzān al-ḥrārẗ	fḥṣ al-ṭbīb drǧẗ al-ḥrārẗ bāstẖdām smāʿẗ al-ṭbīb	1
421	kānwā īṣṭādūn al-smk fī al-mṭbẖ	kānwā īṣṭādūn al-ʾasmāk fī al-bḥīrẗ	0
422	īqūm al-ṭlāb btdrīs al-mʿlmīn	īqūm al-mʿlmūn btʿlīm al-ṭlāb	0
423	kān īšrb kʿkẗ lirwāʾ ʿṭšh	kān īšrb al-māʾ lirwāʾ ʿṭšh	0
424	kān īġsl sīārth bālmāʾ	kān īġsl sīārth būrq al-ṣnfrẗ	1
425	kān īmārs al-rīāḍẗ fī al-ṯlāǧẗ	kān īmārs al-rīāḍẗ fī ṣālẗ al-ʾalʿāb al-rīāḍīẗ	0
426	ḥmāīẗ mṣālḥk hī msʾalẗ bqāʾ.	ḥmāīẗ al-ʾamūr ġīr ḏāt al-ṣlẗ hī msʾalẗ bqāʾ.	1
427	ʾarsl brīddā ilktrūnīًā mn ṯlāǧth	ʾarsl brīddā ilktrūnīًā mn ǧhāz al-kmbīūtr al-ẖāṣ bh	0
428	īḥb ǧūn tnāūl al-ʾāīs krīm bʿd al-ʿšāʾ.	īḥb ǧūn tnāūl al-zrnīẖ bʿd al-ʿšāʾ.	1
429	rʾai šbkẗ al-ʿnkbūt	rʾai šbkẗ asd	1
430	āṣṭdm al-rǧl bālǧrī.	ḍrb al-rǧl krẗ qdm mn aǧl al-ʿūdẗ llmnzl.	1
431	ʾaklt al-trāb ʿli al-fṭūr.	ʾaklt al-fākhẗ ʿli al-fṭūr.	0
432	fī ḍūʾ al-qmr līlā tẓhr ṭrīqhm	fī ḍūʾ al-šms līlā tẓhr ṭrīqhm	1
433	ālṭqs bārd ǧddā ldrǧẗ anh bdʾa ītsāqṭ al-ṯlǧ.	ālǧū ḥār ǧdā ldrǧẗ anh bdʾa ītsāqṭ al-ṯlǧ.	1
434	qāmt al-ẖīāṭẗ bẖīāṭẗ zī ʿli al-ẗ al-ẖīāṭẗ	qāmt al-ẖīāṭẗ bẖīāṭẗ bāb ʿli mākīnẗ al-ẖīāṭẗ	1
435	ālmāʾ ḍrūrī llṣḥẗ	ālmāʾ šīʾ ġīr mrġūb fīh llǧsm	1
436	ītm irsāʾ mrkb šrāʿī fī al-rṣīf.	ītm irsāʾ al-ẓbāʾ ʿnd al-rṣīf.	1
437	ālklb īlwwḥ bḏīlh ʿndmā īkūn mtḥmssā	ālklb īlwwḥ bḏīlh lāstdʿāʾ amh.	1
